,Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Ulta,Sephora,Beauty_Bay,Cult_Beauty,Nordstrom
46,Annabelle Minerals,False,False,False,False,0,0,0,0,0
47,Annmarie Gianni Skin Care,False,False,False,False,0,0,0,0,0
48,Antipodes,False,False,False,False,0,0,0,0,0
49,Antonym,False,False,False,False,0,1,0,0,1
50,Antonym Cosmetics,False,False,False,False,0,0,0,0,0
51,Apoterra Skincare,False,False,False,False,0,0,0,0,0
52,Apothecary 90291,False,False,False,False,0,0,0,0,0
53,Aquis,False,False,False,False,1,1,0,0,1
54,Arbonne,True,False,False,False,0,0,0,0,0
55,Arctic Fox,True,False,False,False,1,0,0,0,0
56,Ardell,False,False,False,False,1,0,1,0,0
57,"Argan Tree, The",False,False,False,False,0,0,0,0,0
58,Ariana Grande Fragrances,False,False,False,False,0,0,0,0,0
59,Aromi,True,False,False,False,0,0,0,0,0
60,Art Naturals,False,False,False,False,1,0,0,0,0
61,Aster + Bay,False,False,False,False,0,0,0,0,0
62,Astonish Cleaning Products,True,False,False,False,0,0,0,0,0
63,Athar’a,True,False,False,False,0,0,0,0,0
64,Athena Club,False,False,False,False,0,0,0,0,0
65,Athr Beauty (formerly Aether Beauty),True,False,False,False,0,1,0,0,0
66,Au Naturale,True,False,False,False,1,0,0,0,0
67,Aubrey Organics,False,False,False,False,0,0,0,0,0
68,Aunt Fannie’s,False,False,False,False,0,0,0,0,0
69,Aura Cacia,False,False,False,False,0,0,0,0,0
70,Auromere,False,False,False,False,0,0,0,0,0
71,Authentic Beauty Concept,True,False,False,False,0,0,0,0,0
72,Avalon Organics,False,False,False,False,0,0,0,0,0
73,Aveda,True,False,True,False,0,1,0,0,1
74,Awake Beauty,False,False,True,False,1,0,0,0,0
75,Axiology,True,False,False,False,1,0,0,0,1
76,Aya Natural,True,False,False,False,0,0,0,0,0
77,Azelique Cosmetics,True,False,False,False,0,0,0,0,0
78,B. by Superdrug,False,False,False,False,0,0,0,0,0
79,BH Cosmetics,False,False,False,False,1,0,0,0,0
80,BYBI Beauty,True,False,False,False,0,0,0,0,0
81,Babo Botanicals,False,False,False,False,1,0,0,0,0
82,Babyliss,False,False,False,False,0,0,0,0,0
83,Bach Original Flower Remedies,False,False,False,False,0,0,0,0,0
84,Baiser Beauty,False,False,False,False,0,0,0,0,0
85,Balanced Guru,False,False,False,False,0,0,0,0,0
86,Balm Balm,False,False,False,False,0,0,0,0,0
87,"Balm, The",False,False,False,False,0,1,0,0,0
88,Bare Bones Body Care,True,False,False,False,0,0,0,0,0
89,Bare Republic,False,False,False,False,0,0,0,0,0
90,Barefaced Beauty,False,False,False,False,0,0,0,0,0
91,Barely Cosmetics,True,False,False,False,0,0,0,0,0
92,Barry M,False,False,False,False,0,0,0,0,0
93,Bask & Co,True,False,False,False,0,0,0,0,0
94,Bask Suncare,True,False,False,False,0,0,0,0,0
95,"Bath, Body, Candle Moments",False,False,False,False,0,0,0,0,0
96,Bdellium Tools,False,False,False,False,0,0,1,0,0
97,Beast,False,False,False,False,1,0,0,0,0
98,Beautisol,True,False,False,False,0,0,0,0,0
99,Beauty Bakerie,False,False,False,True,1,0,0,0,0
100,Beauty Bay,False,False,False,False,0,0,0,0,0
